,vacancy_uuid,hard_skills,extra_skills,benefits,experience,work_type,monthly_wage,is_junior,is_middle,is_senior,is_teamlead
0,779f3a59-206a-3241-adc4-d7db504f960b,"['java', 'spring boot', 'quarkus', 'micronaut', 'vert x', 'kubernetes', 'docker', 'kafka', 'postgress', 'mysql', 'oracle']",[],7,3,distance,450000,False,True,True,False
1,7a4813fc-43bc-3896-a607-4c8682b01002,"['rest', 'grpc', 'kafka', 'rabbitmq', 'sql', 'uml', 'bpmn']",[],0,3,,350000,False,True,True,False
2,c03085c3-9b1e-3564-bb1e-59aa72e5fbca,"['oracle', 'sql', 'pl sql', 'ms sql reporting services', 'tableau', 'qlikview', 'etl', 'informatica powercenter', 'vertica']",[],9,3,distance,300000,False,True,False,False
3,a8dd83c3-178d-3c70-90c2-7c3648f6b96a,"['mq очередь', 'kafka', 'sql', 'jira', 'confluence', 'xml', 'json', 'kubernetes', 'openshift', 'postgresql', 'java']","['умение управлять ожидание заказчик', 'коммуникабельность', 'ответственность принятие решение']",5,2,flexible,150000,False,True,False,False
4,9d98eba0-13bb-38d3-b742-4fd445954b3d,[],"['гибкость', 'обучаемость', 'структурность', 'проактивность', 'готовность драйвитя', 'гореть глаз']",5,3,flexible,630000,False,False,False,True
5,4e2299c0-13fc-301d-8f3c-3ccfd0281ce6,"['java 8', 'sql', 'intellij idea', 'json', 'maven', 'gradle', 'git']",[],6,1,,150000,True,False,False,False
6,a8f56ed3-3ef3-365d-ade4-2df4db5d4af8,"['java spring boot', 'postgresql', 'react js', 'sql', 'api', 'микросервис', 'методология принцип разработка', 'межсистемный взаимодействие', 'моделирование предметный область', 'usecase диаграмма', 'sequence диаграмма', 'технический спецификация']","['гибкость', 'обучаемость', 'коммуникабельность']",7,3,flexible,150000,False,False,False,False
7,cdbe4d64-991a-35a1-8b71-a05a5ce24123,"['java', 'spring', 'redis', 'kafka', 'spark streaming', 'apache flink', 'openshift', 'kubernetes']","['лидерский качество', 'способность обучаться обучать', 'гибкость']",5,3,flexible,150000,False,False,True,False
8,7eca3dc1-2108-3152-85be-cd0ee7aa1493,"['teamcity', 'jenkins', 'helm', 'ansible', 'kubernetes', 'openshift', 'servicemesh', 'istio', 'docker', 'docker compose', 'dockerfile', 'nexus', 'maven', 'bitbucket', 'jira', 'bash', 'python', 'kotlin', 'groovy', 'git', 'terraform', 'wildfly', 'tomcat', 'postgresql', 's3', 'prometheus', 'grafana', 'elk', 'rest api', 'osi']","['коммуникативный навык', 'внимательность деталь', 'аккуратность', 'работа результат']",0,2-4,,null,False,False,False,False
9,01713376-e04d-3f9d-9287-7a5ff74918c3,"['uml', 'rest', 'брокер сообщение', 'mq', 'sql', 'xml', 'json']","['коммуникативный навык', 'аналитический мышление', 'умение работать нечеткий требование', 'принятие решение', 'ответственность']",8,3,flexible,150000,False,True,True,False
10,54ec7d23-cf72-30c0-b0b5-22509ddbdfef,"['hadoop', 'sql', 'apache airflow', 'sas di', 'informatica pc', 'odi']","['гибкость', 'обучаемость', 'коммуникабельность', 'целеустремленность']",5,3,flexible,null,False,False,True,False
