,uuid,is_junior,is_middle,is_senior,is_teamlead,work_type,experience,skills
0,779f3a59-206a-3241-adc4-d7db504f960b,True,False,False,False,distance,3.0,"['kafka', 'банк', 'kotlin', 'kubernetes', 'oracle', 'quarkus', 'docker', 'mysql', 'тренинг', 'разработка', 'бизнес', 'обучение', 'spring', 'openshift', 'java']"
1,7a4813fc-43bc-3896-a607-4c8682b01002,False,True,False,False,,2.0,"['uml', 'kafka', 'банк', 'bpmn', 'data', 'тестирование', 'rabbitmq', 'rest', 'разработка', 'sql', 'bi', 'dwh', 'бизнес', 'api', 'etl', 'проектирование', 'grpc']"
2,c03085c3-9b1e-3564-bb1e-59aa72e5fbca,,,,,distance,,"['sql', 'dwh', 'аналитика', 'vertica', 'разработка', 'бизнес', 'reporting', 'отчетность', 'qlikview', 'субд', 'тестирование', 'исследование', 'проектирование', 'tableau', 'банк', 'oracle', 'it', 'etl', 'informatica']"
3,a8dd83c3-178d-3c70-90c2-7c3648f6b96a,,,,,flexible,2.0,"['bpmn', 'xml', 'sql', 'коммуникабельность', 'postgresql', 'ответственность', 'kafka', 'моделирование', 'разработка', 'бизнес', 'confluence', 'openshift', 'json', 'jira', 'банк', 'kubernetes', 'c', 'uml', 'java']"
4,9d98eba0-13bb-38d3-b742-4fd445954b3d,False,False,False,False,flexible,,"['hr', 'банк', 'ux', 'скоринг']"
5,4e2299c0-13fc-301d-8f3c-3ccfd0281ce6,,,,,,1.0,"['maven', 'data', 'rest', 'sql', 'mvc', 'kafka', 'spark', 'git', 'разработка', 'бизнес', 'gradle', 'python', 'scala', 'jenkins', 'spring', 'redis', 'json', 'kubernetes', 'soap', 'javascript', 'oracle', 'docker', 'it', 'hadoop', 'java']"
6,a8f56ed3-3ef3-365d-ade4-2df4db5d4af8,,,,,flexible,,"['api', 'backend', 'frontend', 'банк', 'js', 'тестирование', 'react', 'моделирование', 'разработка', 'бизнес', 'sql', 'обучение', 'spring', 'it', 'agile', 'postgresql', 'проектирование', 'java']"
7,cdbe4d64-991a-35a1-8b71-a05a5ce24123,False,True,False,False,flexible,3.0,"['kafka', 'openshift', 'банк', 'tarantool', 'kubernetes', 'spark', 'разработка', 'обучение', 'spring', 'it', 'проектирование', 'java', 'redis']"
8,7eca3dc1-2108-3152-85be-cd0ee7aa1493,,,,,office,4.0,"['maven', 's3', 'rest', 'sql', 'postgresql', 'devops', 'api', 'terraform', 'git', 'разработка', 'grafana', 'openshift', 'ansible', 'kotlin', 'bash', 'python', 'jenkins', 'prometheus', 'elk', 'проектирование', 'jira', 'банк', 'java', 'kubernetes', 'docker', 'администрирование', 'it', 'nexus', 'helm']"
9,01713376-e04d-3f9d-9287-7a5ff74918c3,False,True,False,False,flexible,,"['uml', 'json', 'банк', 'it', 'тестирование', 'rest', 'xml', 'разработка', 'бизнес', 'sql', 'xsd', 'обучение', 'api', 'проектирование', 'ответственность']"
10,54ec7d23-cf72-30c0-b0b5-22509ddbdfef,True,True,False,False,flexible,3.0,"['обучение', 'sql', 'dwh', 'postgresql', 'devops', 'airflow', 'spark', 'git', 'разработка', 'confluence', 'agile', 'hive', 'отчетность', 'arenadata', 'субд', 'тестирование', 'unix', 'sas', 'проектирование', 'банк', 'oracle', 'greenplum', 'it', 'etl', 'informatica', 'hadoop']"
11,dfaf7cc8-3726-361e-b7cf-6d9746d6bf77,True,False,False,False,,,"['bigdata', 'html', 'тестирование', 'oracle', 'разработка', 'sql', 'qa', 'it']"
12,61a5a940-c9f2-3f9f-bbda-9cf735697878,,,,,flexible,2.0,"['банк', 'scrum', 'разработка', 'бизнес', 'kanban']"
13,4c9676a3-15f9-3ec7-88ac-96dab7b343ba,True,True,False,False,flexible,,"['kafka', 'банк', 'arenadata', 'субд', 'vertica', 'data', 'teradata', 'тестирование', 'spark', 'проектирование', 'разработка', 'бизнес', 'обучение', 'it', 'agile', 'etl', 'hive', 'hadoop']"
14,ab135980-4634-3579-8707-2f094b5579a9,,,,,flexible,,"['банк', 'ansible', 'linux', 'nginx', 'kubernetes', 'terraform', 'gitlab', 'тестирование', 'bash', 'разработка', 'обучение', 'it', 'devops', 'helm']"
15,042d69ba-f5fb-3248-aa7d-ae47d5ff21ea,True,True,False,False,flexible,,"['arenadata', 'банк', 'vault', 'data', 'моделирование', 'разработка', 'sql', 'dwh', 'бизнес', 'прототипирование', 'erwin', 'it', 'bi', 'etl', 'обучение', 'проектирование']"
